ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"267507";"ALBENDAZOL, DOSAGEM:40 MG/ML, USO:SUSPENSÃO ORAL";"FRASCO";"S";"1542300440052";"Pregão";"ADMINISTRATIVA";"10.0";"ML";"FRASCO 10.00 ML";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"3000";"1.55";"4650.0"
"2023";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.248.285/0001-09";"IPOJUCA";"PE";"13/07/2023";"03/10/2024";"267625";"CEFALEXINA, DOSAGEM:500 MG";"COMPRIMIDO";"S";"1037006550015";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"05.400.006/0001-70";"FABMED DISTRIBUIDORA HOSPITALAR LTDA";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"214200";"0.45";"96390.0"
"2023";"MUNICIPIO DE ESTEIO";"MUNICIPAL";"88.150.495/0001-86";"ESTEIO";"RS";"13/07/2023";"22/12/2025";"448841";"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:50 MG/ML + 12,5 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL";"FRASCO";;;"Dispensa de Licitação";"ADMINISTRATIVA";"75.0";"ML";"FRASCO 75.00 ML";"42.227.547/0001-74";"MED4 IMPORTADORA E DISTRIBUIDORA LTDA";"57.507.378/0001-01";"EMS S/A";"600";"48.0";"28800.0"
"2023";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.718.406/0001-20";"ARACAJU";"SE";"13/07/2023";;"425356";"FRALDA DESCARTÁVEL, TIPO FORMATO:ANATÔMICO, TAMANHO:EXTRA GRANDE, PESO USUÁRIO:ACIMA DE 16 KG, CARACTERÍSTICAS ADICIONAIS:FLOCOS DE GEL, ABAS ANTIVAZAMENTO, FAIXA AJUSTÁVEL, TIPO ADESIVO FIXAÇÃO:FITAS ADESIVAS MULTIAJUSTÁVEIS, TIPO USO:NOTURNO";"UNIDADE";;;"Dispensa de Licitação";"JUDICIAL";;;"UNIDADE";"18.489.967/0001-44";"LB COMERCIO E SERVICOS LTDA";"02.290.277/0001-21";"KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA";"2880";"1.82";"5241.6"
"2023";"MUNICIPIO DE ESTEIO";"MUNICIPAL";"88.150.495/0001-86";"ESTEIO";"RS";"13/07/2023";"22/12/2025";"271217";"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:500MG + 125MG";"COMPRIMIDO";"S";"1235202730116";"Dispensa de Licitação";"ADMINISTRATIVA";;;"COMPRIMIDO";"06.106.005/0001-80";"STOCK MED S.A";"73.663.650/0001-90";"RANBAXY FARMACEUTICA LTDA";"24990";"2.68";"66973.2"
"2023";;"MUNICIPAL";"46.362.927/0001-72";"BROTAS";"SP";"14/07/2023";"15/04/2025";"428705";"DUTASTERIDA, COMPOSIÇÃO:ASSOCIADO À TANSULOSINA, CONCENTRAÇÃO:0,5 MG + 0,4 MG";"CÁPSULA";"S";"1221401000029";"Inexigibilidade de Licitação";"ADMINISTRATIVA";;;"CÁPSULA";"04.851.958/0001-47";"R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA";"55.980.684/0001-27";"ADIUM S.A.";"720";"2.92";"2102.4"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"267282";"ESCOPOLAMINA BUTILBROMETO, DOSAGEM:20 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"S";"1037002880010";"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"64.815.897/0001-94";"TRIUNFAL MARILIA COMERCIAL LIMITADA";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"100";"1.5";"150.0"
"2023";"MUNICIPIO DE ESTEIO";"MUNICIPAL";"88.150.495/0001-86";"ESTEIO";"RS";"14/07/2023";"22/12/2025";"427338";"FRALDA DESCARTÁVEL, TIPO FORMATO:ANATÔMICO, TAMANHO:PEQUENO, PESO USUÁRIO:ATÉ 40 KG, CARACTERÍSTICAS ADICIONAIS:FLOCOS DE GEL, ABAS ANTIVAZAMENTO, FAIXA AJUSTÁVEL, TIPO ADESIVO FIXAÇÃO:FITAS ADESIVAS MULTIAJUSTÁVEIS, TIPO USUÁRIO:ADULTO, USO:ALGODÃO NÃO DESFAÇA QUANDO MOLHADO";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"01.733.345/0001-17";"NOELI VIEIRA DISTRIBUIDORA DE SOROS E EQUIPAMENTOS MEDICOS LTDA";"28.184.138/0001-07";"WF INDUSTRIA E COMERCIO DE FRALDAS LTDA";"2000";"0.12";"240.0"
"2023";;"MUNICIPAL";"46.362.927/0001-72";"BROTAS";"SP";"14/07/2023";"15/04/2025";"291770";"ESCITALOPRAM OXALATO, DOSAGEM:10 MG";"COMPRIMIDO";"S";"1058307970040";"Inexigibilidade de Licitação";"ADMINISTRATIVA";;;"COMPRIMIDO";"04.851.958/0001-47";"R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA";"45.992.062/0001-65";"GERMED FARMACEUTICA LTDA";"720";"1.53";"1101.6"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"267671";"GLIBENCLAMIDA, DOSAGEM:5 MG";"COMPRIMIDO";"S";"1091700640011";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"67.729.178/0007-34";"COMERCIAL CIRURGICA RIOCLARENSE LTDA";"17.875.154/0001-20";"MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.";"41250";"0.029";"1196.25"
